# time  ID  size  fromHost  toHost  TTL  isResponse
145.0000 M145 500000 p27 p17 240 N 
146.0000 M146 500000 t65 p21 240 N 
147.0000 M147 500000 t58 p13 240 N 
148.0000 M148 500000 p14 t73 240 N 
149.0000 M149 500000 p22 t60 240 N 
150.0000 M150 500000 t50 p4 240 N 
151.0000 M151 500000 t50 p32 240 N 
152.0000 M152 500000 p29 t45 240 N 
153.0000 M153 500000 t75 p16 240 N 
154.0000 M154 500000 p30 p23 240 N 
155.0000 M155 500000 t69 t41 240 N 
156.0000 M156 500000 t64 p0 240 N 
157.0000 M157 500000 t78 p31 240 N 
158.0000 M158 500000 p16 p10 240 N 
159.0000 M159 500000 t63 t60 240 N 
160.0000 M160 500000 t73 p29 240 N 
161.0000 M161 500000 t68 t43 240 N 
162.0000 M162 500000 p18 p28 240 N 
163.0000 M163 500000 t48 t75 240 N 
164.0000 M164 500000 t59 t42 240 N 
165.0000 M165 500000 p3 p5 240 N 
166.0000 M166 500000 t66 t77 240 N 
167.0000 M167 500000 p3 p8 240 N 
168.0000 M168 500000 t46 t42 240 N 
169.0000 M169 500000 t71 t72 240 N 
170.0000 M170 500000 t51 p26 240 N 
171.0000 M171 500000 t70 p26 240 N 
172.0000 M172 500000 p37 p7 240 N 
173.0000 M173 500000 t58 p35 240 N 
174.0000 M174 500000 t78 p38 240 N 
175.0000 M175 500000 t68 p31 240 N 
176.0000 M176 500000 t61 t46 240 N 
177.0000 M177 500000 p31 t55 240 N 
178.0000 M178 500000 t70 p14 240 N 
179.0000 M179 500000 t59 p10 240 N 
180.0000 M180 500000 t45 t53 240 N 
181.0000 M181 500000 t49 t55 240 N 
182.0000 M182 500000 p4 t46 240 N 
183.0000 M183 500000 t57 p18 240 N 
184.0000 M184 500000 p24 p7 240 N 
185.0000 M185 500000 p14 t50 240 N 
186.0000 M186 500000 t50 t54 240 N 
187.0000 M187 500000 t67 p14 240 N 
188.0000 M188 500000 p30 t48 240 N 
189.0000 M189 500000 t59 t73 240 N 
190.0000 M190 500000 p23 t55 240 N 
191.0000 M191 500000 t48 p18 240 N 
192.0000 M192 500000 p7 p4 240 N 
193.0000 M193 500000 p9 p25 240 N 
194.0000 M194 500000 p27 t62 240 N 
195.0000 M195 500000 p13 p8 240 N 
196.0000 M196 500000 p15 t76 240 N 
197.0000 M197 500000 t45 p22 240 N 
198.0000 M198 500000 p37 p6 240 N 
199.0000 M199 500000 t75 t46 240 N 
200.0000 M200 500000 t53 p22 240 N 
201.0000 M201 500000 p35 p21 240 N 
202.0000 M202 500000 t75 p33 240 N 
203.0000 M203 500000 p25 t77 240 N 
204.0000 M204 500000 t64 t62 240 N 
205.0000 M205 500000 p13 t50 240 N 
206.0000 M206 500000 p34 p21 240 N 
207.0000 M207 500000 t55 t52 240 N 
208.0000 M208 500000 p33 t48 240 N 
209.0000 M209 500000 p24 p8 240 N 
210.0000 M210 500000 p19 p5 240 N 
211.0000 M211 500000 p10 p16 240 N 
212.0000 M212 500000 p35 t43 240 N 
213.0000 M213 500000 p15 t51 240 N 
214.0000 M214 500000 p33 t59 240 N 
215.0000 M215 500000 t66 t60 240 N 
216.0000 M216 500000 t62 t72 240 N 
217.0000 M217 500000 t60 t67 240 N 
218.0000 M218 500000 t54 p30 240 N 
219.0000 M219 500000 p30 p2 240 N 
220.0000 M220 500000 t51 p32 240 N 
221.0000 M221 500000 p12 p36 240 N 
222.0000 M222 500000 t76 p30 240 N 
223.0000 M223 500000 t68 t40 240 N 
224.0000 M224 500000 p17 t50 240 N 
225.0000 M225 500000 p17 t53 240 N 
226.0000 M226 500000 p6 p23 240 N 
227.0000 M227 500000 p23 t64 240 N 
228.0000 M228 500000 t60 t62 240 N 
229.0000 M229 500000 p25 p21 240 N 
230.0000 M230 500000 p20 p28 240 N 
231.0000 M231 500000 t62 p27 240 N 
232.0000 M232 500000 t71 t57 240 N 
233.0000 M233 500000 t64 p21 240 N 
234.0000 M234 500000 p38 p15 240 N 
235.0000 M235 500000 t74 p8 240 N 
236.0000 M236 500000 p9 p19 240 N 
237.0000 M237 500000 p25 p15 240 N 
238.0000 M238 500000 p6 p2 240 N 
239.0000 M239 500000 p13 p22 240 N 
240.0000 M240 500000 p13 t44 240 N 
241.0000 M241 500000 p8 p20 240 N 
242.0000 M242 500000 t48 p19 240 N 
243.0000 M243 500000 p21 t75 240 N 
244.0000 M244 500000 t65 p35 240 N 
245.0000 M245 500000 t60 p10 240 N 
246.0000 M246 500000 t66 t41 240 N 
247.0000 M247 500000 t68 p6 240 N 
248.0000 M248 500000 p22 t50 240 N 
249.0000 M249 500000 p1 p13 240 N 
250.0000 M250 500000 t75 t66 240 N 
251.0000 M251 500000 p18 p30 240 N 
252.0000 M252 500000 t59 p25 240 N 
253.0000 M253 500000 t65 p29 240 N 
254.0000 M254 500000 p36 p23 240 N 
255.0000 M255 500000 p15 t64 240 N 
256.0000 M256 500000 p17 t60 240 N 
257.0000 M257 500000 t65 t77 240 N 
258.0000 M258 500000 p15 p12 240 N 
259.0000 M259 500000 t71 p22 240 N 
260.0000 M260 500000 p23 t69 240 N 
261.0000 M261 500000 t68 t55 240 N 
262.0000 M262 500000 p29 t49 240 N 
263.0000 M263 500000 p22 t76 240 N 
264.0000 M264 500000 p11 t75 240 N 
265.0000 M265 500000 t64 t78 240 N 
266.0000 M266 500000 t77 p30 240 N 
267.0000 M267 500000 t54 p5 240 N 
268.0000 M268 500000 p14 t45 240 N 
269.0000 M269 500000 t43 p6 240 N 
270.0000 M270 500000 t47 p36 240 N 
271.0000 M271 500000 p30 t50 240 N 
272.0000 M272 500000 p18 p29 240 N 
273.0000 M273 500000 t55 p2 240 N 
274.0000 M274 500000 t59 p8 240 N 
275.0000 M275 500000 t43 p15 240 N 
276.0000 M276 500000 t53 p21 240 N 
277.0000 M277 500000 p36 t52 240 N 
278.0000 M278 500000 p17 t48 240 N 
279.0000 M279 500000 t73 t76 240 N 
280.0000 M280 500000 t78 t74 240 N 
281.0000 M281 500000 p6 t67 240 N 
282.0000 M282 500000 p15 t74 240 N 
283.0000 M283 500000 t41 t48 240 N 
284.0000 M284 500000 p34 p7 240 N 
285.0000 M285 500000 t60 t76 240 N 
286.0000 M286 500000 t76 t48 240 N 
287.0000 M287 500000 p37 p21 240 N 
288.0000 M288 500000 t66 t48 240 N 
289.0000 M289 500000 t72 p11 240 N 
290.0000 M290 500000 p12 t67 240 N 
291.0000 M291 500000 p31 p14 240 N 
292.0000 M292 500000 p27 p18 240 N 
293.0000 M293 500000 p6 p18 240 N 
294.0000 M294 500000 t58 p29 240 N 
295.0000 M295 500000 p10 t58 240 N 
296.0000 M296 500000 t61 p16 240 N 
297.0000 M297 500000 p9 p7 240 N 
298.0000 M298 500000 p1 t66 240 N 
299.0000 M299 500000 p0 t48 240 N 
300.0000 M300 500000 t53 p1 240 N 
301.0000 M301 500000 t63 p15 240 N 
302.0000 M302 500000 t51 p2 240 N 
303.0000 M303 500000 t42 p1 240 N 
304.0000 M304 500000 t63 p36 240 N 
305.0000 M305 500000 t55 t47 240 N 
306.0000 M306 500000 t50 p10 240 N 
307.0000 M307 500000 p28 p22 240 N 
308.0000 M308 500000 p11 p35 240 N 
309.0000 M309 500000 p34 p29 240 N 
310.0000 M310 500000 p14 t46 240 N 
311.0000 M311 500000 t73 t44 240 N 
312.0000 M312 500000 p18 p7 240 N 
313.0000 M313 500000 p2 t47 240 N 
314.0000 M314 500000 p26 t52 240 N 
315.0000 M315 500000 p17 t49 240 N 
316.0000 M316 500000 t60 t77 240 N 
317.0000 M317 500000 p31 p21 240 N 
318.0000 M318 500000 t67 t72 240 N 
319.0000 M319 500000 t59 p1 240 N 
320.0000 M320 500000 p32 t65 240 N 
321.0000 M321 500000 t47 t42 240 N 
322.0000 M322 500000 t73 t42 240 N 
323.0000 M323 500000 p18 t59 240 N 
324.0000 M324 500000 p20 p30 240 N 
325.0000 M325 500000 t60 t75 240 N 
326.0000 M326 500000 t61 p36 240 N 
327.0000 M327 500000 p11 p25 240 N 
328.0000 M328 500000 p0 t69 240 N 
329.0000 M329 500000 p27 p5 240 N 
330.0000 M330 500000 t76 p11 240 N 
331.0000 M331 500000 p37 p12 240 N 
332.0000 M332 500000 t62 t57 240 N 
333.0000 M333 500000 p11 p33 240 N 
334.0000 M334 500000 p6 t63 240 N 
335.0000 M335 500000 p29 p21 240 N 
336.0000 M336 500000 t75 t70 240 N 
337.0000 M337 500000 t74 t46 240 N 
338.0000 M338 500000 t76 t49 240 N 
339.0000 M339 500000 t78 t53 240 N 
340.0000 M340 500000 p12 t54 240 N 
341.0000 M341 500000 t78 t75 240 N 
342.0000 M342 500000 t57 p24 240 N 
343.0000 M343 500000 t73 p33 240 N 
344.0000 M344 500000 p36 p5 240 N 
345.0000 M345 500000 p35 t65 240 N 
346.0000 M346 500000 t72 t62 240 N 
347.0000 M347 500000 t46 t77 240 N 
348.0000 M348 500000 p21 t54 240 N 
349.0000 M349 500000 p14 t40 240 N 
350.0000 M350 500000 p38 t72 240 N 
351.0000 M351 500000 p31 t50 240 N 
352.0000 M352 500000 p33 t71 240 N 
353.0000 M353 500000 p0 p26 240 N 
354.0000 M354 500000 p4 p32 240 N 
355.0000 M355 500000 p3 p33 240 N 
356.0000 M356 500000 t73 t46 240 N 
357.0000 M357 500000 p27 t61 240 N 
358.0000 M358 500000 p37 t50 240 N 
359.0000 M359 500000 p32 t60 240 N 
360.0000 M360 500000 t71 t70 240 N 
361.0000 M361 500000 t49 t75 240 N 
362.0000 M362 500000 t78 t49 240 N 
363.0000 M363 500000 p37 p35 240 N 
364.0000 M364 500000 p12 p17 240 N 
365.0000 M365 500000 t65 p23 240 N 
366.0000 M366 500000 p13 p2 240 N 
367.0000 M367 500000 p0 t41 240 N 
368.0000 M368 500000 p11 t70 240 N 
369.0000 M369 500000 t52 t71 240 N 
370.0000 M370 500000 p9 p39 240 N 
371.0000 M371 500000 p39 t60 240 N 
372.0000 M372 500000 p32 t45 240 N 
373.0000 M373 500000 t73 p2 240 N 
374.0000 M374 500000 t66 p33 240 N 
375.0000 M375 500000 p22 p12 240 N 
376.0000 M376 500000 p8 t73 240 N 
377.0000 M377 500000 p22 p30 240 N 
378.0000 M378 500000 p7 p10 240 N 
379.0000 M379 500000 t47 p2 240 N 
380.0000 M380 500000 t73 p2 240 N 
381.0000 M381 500000 p38 t50 240 N 
382.0000 M382 500000 p4 t62 240 N 
383.0000 M383 500000 t53 t58 240 N 
384.0000 M384 500000 t56 t76 240 N 
385.0000 M385 500000 t68 t78 240 N 
386.0000 M386 500000 p32 p22 240 N 
387.0000 M387 500000 p16 p15 240 N 
388.0000 M388 500000 t64 t76 240 N 
389.0000 M389 500000 t59 p10 240 N 
390.0000 M390 500000 p34 p16 240 N 
391.0000 M391 500000 t57 t77 240 N 
392.0000 M392 500000 t53 p20 240 N 
393.0000 M393 500000 p22 p20 240 N 
394.0000 M394 500000 p32 p16 240 N 
395.0000 M395 500000 p11 p0 240 N 
396.0000 M396 500000 p14 t44 240 N 
397.0000 M397 500000 t78 t47 240 N 
398.0000 M398 500000 t49 t75 240 N 
399.0000 M399 500000 t66 p14 240 N 
400.0000 M400 500000 t40 p11 240 N 
401.0000 M401 500000 t50 p32 240 N 
402.0000 M402 500000 t63 t67 240 N 
403.0000 M403 500000 t69 t54 240 N 
404.0000 M404 500000 p7 p11 240 N 
405.0000 M405 500000 t69 t52 240 N 
406.0000 M406 500000 p9 t69 240 N 
407.0000 M407 500000 t46 t58 240 N 
408.0000 M408 500000 t54 p37 240 N 
409.0000 M409 500000 p37 t72 240 N 
410.0000 M410 500000 p29 p26 240 N 
411.0000 M411 500000 p19 p20 240 N 
412.0000 M412 500000 p4 t42 240 N 
413.0000 M413 500000 t45 t50 240 N 
414.0000 M414 500000 p12 p28 240 N 
415.0000 M415 500000 p26 t70 240 N 
