# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1926.7000 M1494 500000 3 432.7000 p33 t52 232 N p33->p19->p37->t52
1926.9000 M119 500000 4 1807.9000 p2 t52 209 N p2->p33->p19->p37->t52
1950.9000 M1592 500000 3 358.9000 t78 t52 234 N t78->p8->p19->t52
1953.0000 M425 500000 1 1528.0000 p5 t74 214 N p5->t74
1953.2000 M1255 500000 2 698.2000 t68 p5 228 N t68->t74->p5
1953.3000 M1201 500000 2 752.3000 t65 p5 227 N t65->t74->p5
1953.4000 M1539 500000 2 414.4000 t48 p8 233 N t48->t52->p8
1953.5000 M1112 500000 3 841.5000 t58 p8 225 N t58->t46->t52->p8
1953.5000 M28 500000 5 1925.5000 t64 p5 207 N t64->p2->t56->t72->t74->p5
1960.5000 M501 500000 1 1459.5000 t49 p34 215 N t49->p34
1960.6000 M338 500000 3 1622.6000 t76 t49 212 N t76->t70->p34->t49
1960.8000 M1873 500000 1 87.8000 p34 t49 238 N p34->t49
1972.2000 M239 500000 7 1733.2000 p13 p22 211 N p13->t70->p9->p12->t44->t79->t53->p22
1972.3000 M105 500000 3 1867.3000 p25 p22 208 N p25->t44->t53->p22
1972.4000 M386 500000 6 1586.4000 p32 p22 213 N p32->p14->p0->t44->t79->t53->p22
2002.3000 M81 500000 5 1921.3000 t56 t73 207 N t56->p33->p38->p37->t52->t73
2002.4000 M1096 500000 5 906.4000 t66 t73 224 N t66->t61->p38->p19->t52->t73
2002.5000 M124 500000 1 1878.5000 t52 t73 208 N t52->t73
2002.6000 M433 500000 5 1569.6000 p4 t73 213 N p4->t47->p38->p37->t52->t73
2009.4000 M1204 500000 1 805.4000 p21 t50 226 N p21->t50
2009.5000 M201 500000 3 1808.5000 p35 p21 209 N p35->p15->t50->p21
2012.7000 M577 500000 1 1435.7000 t58 t59 216 N t58->t59
2012.9000 M759 500000 6 1253.9000 p17 t59 219 N p17->t43->p39->t52->t46->t58->t59
2018.5000 M215 500000 5 1803.5000 t66 t60 209 N t66->t48->p31->p38->t51->t60
2018.6000 M1448 500000 2 570.6000 t63 t60 230 N t63->t51->t60
2036.8000 M1790 500000 4 246.8000 p19 t66 235 N p19->p38->p37->t52->t66
2036.9000 M541 500000 5 1495.9000 p33 t66 215 N p33->p19->p38->p37->t52->t66
2037.0000 M298 500000 5 1739.0000 p1 t66 211 N p1->p3->t54->p28->t52->t66
2037.1000 M108 500000 7 1929.1000 t69 t66 207 N t69->t63->t73->t77->t62->p8->t52->t66
2037.3000 M33 500000 5 2004.3000 t56 t66 206 N t56->p33->p19->p37->t52->t66
2037.5000 M1250 500000 2 787.5000 t64 t52 226 N t64->t66->t52
2074.1000 M755 500000 3 1319.1000 t43 p16 218 N t43->p39->t52->p16
2074.3000 M881 500000 10 1193.3000 t42 p16 220 N t42->p12->t44->t64->p2->p33->p38->p19->p8->t52->p16
2074.4000 M394 500000 5 1680.4000 p32 p16 211 N p32->p3->t54->p28->t52->p16
2074.6000 M986 500000 5 1088.6000 t62 p16 221 N t62->t77->p8->p19->t52->p16
2074.8000 M1936 500000 1 138.8000 t52 p16 237 N t52->p16
2077.5000 M1073 500000 4 1004.5000 t77 p39 223 N t77->p8->p19->p37->p39
2077.6000 M30 500000 4 2047.6000 t63 p39 205 N t63->p8->p19->p37->p39
2077.9000 M924 500000 3 1153.9000 p38 p39 220 N p38->p19->p37->p39
2082.9000 M138 500000 4 1944.9000 t69 p31 207 N t69->t63->t73->t52->p31
2083.0000 M1635 500000 3 448.0000 t78 p31 232 N t78->p8->t52->p31
2083.1000 M993 500000 2 1090.1000 p39 p31 221 N p39->t52->p31
2083.3000 M1629 500000 5 454.3000 t56 p31 232 N t56->p33->p38->p37->t52->p31
2093.9000 M382 500000 4 1711.9000 p4 t62 211 N p4->t47->p38->t51->t62
2094.0000 M560 500000 5 1534.0000 p26 t62 214 N p26->p4->p19->p38->t51->t62
2094.1000 M141 500000 2 1953.1000 t61 t62 207 N t61->t51->t62
2094.3000 M12 500000 3 2082.3000 t47 t62 205 N t47->p19->t51->t62
2094.4000 M19 500000 2 2075.4000 t61 t62 205 N t61->t51->t62
2097.1000 M1087 500000 1 1010.1000 p21 p15 223 N p21->p15
2106.7000 M285 500000 4 1821.7000 t60 t76 209 N t60->t72->p36->p0->t76
2106.9000 M388 500000 3 1718.9000 t64 t76 211 N t64->t44->p0->t76
2107.0000 M895 500000 1 1212.0000 p0 t76 219 N p0->t76
2107.1000 M1149 500000 3 958.1000 p23 t76 224 N p23->t61->p0->t76
2107.2000 M196 500000 4 1911.2000 p15 t76 208 N p15->t64->t44->p0->t76
2107.4000 M659 500000 2 1448.4000 p36 t76 215 N p36->p0->t76
2107.5000 M583 500000 1 1524.5000 p0 t76 214 N p0->t76
2107.6000 M1193 500000 3 914.6000 t51 t76 224 N t51->t61->p0->t76
2107.7000 M544 500000 4 1563.7000 t65 t76 213 N t65->p12->t44->p0->t76
2107.9000 M1510 500000 1 597.9000 p0 t76 230 N p0->t76
2108.0000 M698 500000 2 1410.0000 t44 t76 216 N t44->p0->t76
2108.4000 M1704 500000 2 404.4000 p0 p36 233 N p0->t61->p36
2108.5000 M638 500000 2 1470.5000 t47 p36 215 N t47->t61->p36
2108.6000 M898 500000 5 1210.6000 p31 p36 219 N p31->p19->p38->t51->t61->p36
2108.8000 M270 500000 2 1838.8000 t47 p36 209 N t47->t61->p36
2108.9000 M326 500000 1 1782.9000 t61 p36 210 N t61->p36
2114.8000 M1253 500000 5 861.8000 t51 t70 225 N t51->t61->p38->p19->p23->t70
2114.9000 M98 500000 3 2016.9000 p39 t70 206 N p39->t42->p23->t70
2115.0000 M715 500000 3 1400.0000 p26 p23 216 N p26->p34->t70->p23
2138.0000 M1383 500000 2 755.0000 t61 p4 227 N t61->p0->p4
2138.1000 M933 500000 2 1205.1000 t44 p4 219 N t44->p0->p4
2138.2000 M552 500000 4 1586.2000 p9 p4 213 N p9->p12->t44->p0->p4
2138.5000 M56 500000 4 2082.5000 t77 p4 205 N t77->p25->t44->p0->p4
2138.6000 M999 500000 1 1139.6000 p0 p4 221 N p0->p4
