# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1174.1000 M355 500000 3 819.1000 p3 p33 226 N p3->p1->t72->p33
1185.5000 M528 500000 2 657.5000 t46 p38 229 N t46->t76->p38
1185.6000 M877 500000 2 308.6000 t48 p38 234 N t48->t76->p38
1185.7000 M606 500000 1 579.7000 t76 p38 230 N t76->p38
1186.0000 M44 500000 3 1142.0000 p3 p38 220 N p3->t71->t76->p38
1186.1000 M9 500000 3 1177.1000 t58 p38 220 N t58->t46->t76->p38
1186.3000 M1181 500000 2 5.3000 p19 t76 239 N p19->p38->t76
1190.9000 M36 500000 4 1154.9000 p7 p14 220 N p7->p22->p15->p20->p14
1191.0000 M562 500000 2 629.0000 p0 p20 229 N p0->p14->p20
1201.1000 M132 500000 3 1069.1000 t57 p28 222 N t57->p13->t78->p28
1203.5000 M1148 500000 1 55.5000 t71 p8 239 N t71->p8
1203.7000 M209 500000 3 994.7000 p24 p8 223 N p24->t43->t71->p8
1203.8000 M167 500000 2 1036.8000 p3 p8 222 N p3->t71->p8
1208.9000 M534 500000 3 674.9000 t71 p19 228 N t71->t76->p38->p19
1209.4000 M236 500000 3 973.4000 p9 p19 223 N p9->t70->t76->p19
1209.5000 M495 500000 2 714.5000 t46 p19 228 N t46->t76->p19
1214.4000 M1026 500000 1 188.4000 t66 t61 236 N t66->t61
1214.5000 M396 500000 2 818.5000 p14 t44 226 N p14->p0->t44
1214.6000 M57 500000 1 1157.6000 p0 t44 220 N p0->t44
1214.8000 M156 500000 2 1058.8000 t64 p0 222 N t64->t44->p0
1215.0000 M395 500000 3 820.0000 p11 p0 226 N p11->p25->t44->p0
1215.2000 M602 500000 2 613.2000 p12 p0 229 N p12->t44->p0
1216.6000 M90 500000 4 1126.6000 t42 p2 221 N t42->p12->t65->p33->p2
1216.9000 M238 500000 5 978.9000 p6 p2 223 N p6->p3->p1->t72->p33->p2
1217.0000 M366 500000 3 851.0000 p13 p2 225 N p13->t72->p33->p2
1226.9000 M1002 500000 1 224.9000 t61 t70 236 N t61->t70
1248.6000 M34 500000 3 1214.6000 t41 t74 219 N t41->t79->t68->t74
1251.1000 M73 500000 3 1178.1000 t44 p32 220 N t44->p25->p11->p32
1251.2000 M419 500000 1 832.2000 p11 p32 226 N p11->p32
1251.4000 M1 500000 3 1250.4000 t46 p32 219 N t46->t62->p11->p32
1251.5000 M431 500000 2 820.5000 t44 p32 226 N t44->p11->p32
1252.3000 M62 500000 2 1190.3000 p22 p35 220 N p22->p15->p35
1252.5000 M615 500000 2 637.5000 p20 p35 229 N p20->p15->p35
1252.6000 M904 500000 2 348.6000 p20 p35 234 N p20->p15->p35
1255.9000 M1137 500000 2 118.9000 p28 t57 238 N p28->t78->t57
1256.0000 M469 500000 2 787.0000 p28 t57 226 N p28->t78->t57
1256.1000 M684 500000 2 572.1000 t70 t78 230 N t70->t57->t78
1256.3000 M978 500000 3 278.3000 t76 t78 235 N t76->t48->t57->t78
1264.4000 M202 500000 5 1062.4000 t75 p33 222 N t75->t44->p25->p11->p32->p33
1264.5000 M333 500000 2 931.5000 p11 p33 224 N p11->p32->p33
1265.9000 M470 500000 6 795.9000 p24 t51 226 N p24->t46->t58->t76->t70->t61->t51
1266.0000 M779 500000 3 487.0000 t76 t51 231 N t76->t70->t61->t51
1271.6000 M654 500000 2 617.6000 t65 p5 229 N t65->p12->p5
1273.2000 M1273 500000 1 0.2000 t71 t69 239 N t71->t69
1281.0000 M250 500000 6 1031.0000 t75 t66 222 N t75->t44->p25->t48->t76->t70->t66
1288.4000 M1015 500000 2 273.4000 t77 p13 235 N t77->p8->p13
1288.5000 M443 500000 2 845.5000 t72 p8 225 N t72->p13->p8
1288.6000 M195 500000 1 1093.6000 p13 p8 221 N p13->p8
1290.0000 M66 500000 2 1224.0000 t43 p3 219 N t43->t54->p3
1290.1000 M733 500000 2 557.1000 p32 t54 230 N p32->p3->t54
1290.3000 M340 500000 3 950.3000 p12 t54 224 N p12->p9->p3->t54
1308.1000 M1308 500000 1 0.1000 t62 t77 239 N t62->t77
1311.5000 M691 500000 3 620.5000 p14 p27 229 N p14->p0->t44->p27
1311.7000 M231 500000 4 1080.7000 t62 p27 221 N t62->p11->p25->t44->p27
1311.8000 M416 500000 4 895.8000 p32 p27 225 N p32->p14->p0->t44->p27
1332.5000 M451 500000 3 881.5000 p12 p36 225 N p12->t44->t64->p36
1332.6000 M453 500000 2 879.6000 p2 p36 225 N p2->t64->p36
1332.8000 M655 500000 2 677.8000 p2 p36 228 N p2->t64->p36
1333.0000 M221 500000 3 1112.0000 p12 p36 221 N p12->t44->t64->p36
1342.3000 M513 500000 2 829.3000 t40 p34 226 N t40->t47->p34
1342.4000 M27 500000 4 1315.4000 p11 p34 218 N p11->t62->t40->t47->p34
1342.5000 M824 500000 2 518.5000 t61 p34 231 N t61->t47->p34
1344.9000 M293 500000 3 1051.9000 p6 p18 222 N p6->p3->p28->p18
1345.0000 M162 500000 1 1183.0000 p18 p28 220 N p18->p28
1345.1000 M486 500000 1 859.1000 p18 p28 225 N p18->p28
1349.5000 M198 500000 1 1151.5000 p37 p6 220 N p37->p6
1349.6000 M864 500000 1 485.6000 p37 p6 231 N p37->p6
1349.8000 M497 500000 4 852.8000 t70 p37 225 N t70->p9->t57->p6->p37
